id	turn1	turn2	turn3	label
125	Do you speak Japanese?	nope just some rattofied phrases ;)	Like?	others
126	I am hate you	"who is ""YOU"""	Not you	others
127	I talk to her a lot	are you sure? I have not heard you talk in years	She's been on my mind quite long now	others
128	I might enjoy it	cool! You should!	Well this has been great.. but I have food to attend too..	others
129	Only few things	like what? I keep hearing bad things	Ok don't  be angry na sweetei	others
130	people have got used to living like this	Yes they did have to	why re we happy	others
131	Really	Yes it's kool.	Will u come for a bike ride with me	others
132	What is krk 	Nice try KRK.. ^_^	What is it 	others
133	Haaaww not best friend 😢	best friend or more more than best friend	Only mutual	others
134	I just said I'm going	you are	So bye	others
135	Please make for me also	I think you know ra.	I dont know	others
136	Call me video 	Hold on, let me find that app on my phone.	Call me 	others
137	Know I going to duty dear	"can't live without you, stuff like that"""	Hooma	others
138	Which language? 	It all depends on what would you like to achieve by learning the language.	Ok	others
139	Have you ever seen the space?	Yes, many times.	When?	others
140	K think me as husband	Spoken like a person who has never been married.	S	others
141	You?	Yeah probably should.	How's your day	others
142	Rubbish 	Indeed 👍	Tell  romantic  	others
143	Wellcome	thank you :))	How long can it be safely sex after the period?	others
144	I miss u very much	missed you more and going to miss you again<3	I empress u	others
145	You	Wot u on about	Go	others
146	Mmm	"what's ""mmm""? Is it the new ""hmm""?"	So what re u doin	others
147	Yep ... Now the whole world  knows ..	wow, i cannot believe this	Know we can think for our future together.	others
148	no i  am not	Oh my bad. Carry on.	sex?	others
149	Oh ok i will	thank you man 8)	Its ok	others
150	??	what what? Haha 😆	Is it good to sacrifice for our friends	others
151	Lolllllll	say i'm lying	You male or female?	others
152	Damn right you will now open wide	should open by 10	Splooges in your mouth	others
153	How do you know	I have my friends to protect me d:	Not me ?	others
154	Do you have crush on someone	Uhm Why would you assume such?	the way you talk	others
155	yes	YES YES YES YES	OK good nights	others
156	What do you want ?	duH of course	I have an exam tomorrow	others
157	Take it from Microsoft's database	we don't get wifi from our aircraft	Then how are you chatting with me if you don't have access to net.	others
158	You Nam please	Accepted..:-)	Tall	others
159	Why i haooy	Because, it just is. Get over it son.	Why i happy and u	others
160	Okay, so pick one TV series.  Westworld or Orphan Black	TV series	You still need some work to do. Kinda dumb in my opinion	others
161	Yes u r right	thank you! :)	It's okay	others
162	Yes	Do you have help?	What type of help you can do	others
163	your favorite meals	Fried rice.	great 	others
164	This is not funny	So for who is that name?	Siri is better than you	others
165	From where?	from where you getting them	Who are them?	others
166	What you don't want to	Anything. I just want to laze about and do nothing.	Except 1 thing	others
167	We request you to elaborate on what you think you are not the intended recipient you are not the intended recipient	I thought you said you guys would be there to assist , awaiting your assistance !	I'm not sure if you have any questions or need any further information please contact me	others
168	Ipl	not true..no tv. No ipl	Which is ur fav team	others
169	I was so good	I just wish there was more	hmm	others
170	i really love it	thanks!! Glad you liked it!! 😆	please come	others
171	 oh really	yes yes	So what about me	others
172	what you deal?	HOW R U ALIVE?!	on food	others
173	I can't believe that	you're lucky !	Yes	others
174	Yup	much needed comment!	Yeah... And what about your film collection	others
175	Why	Because we don't sign like that	Boring u r	others
176	How is dubai.and which job you can do there	Good yeah! Do tell me when you're here next time around. How's Dubai?	Planning to go next month dubai that's why iam asking you	others
177	Ur language being like kinda language	English but I like to speak Spanish and Italian also.	Ugh	others
178	Dont talk with me in hindhi	Hey	Tell	others
179	Pls talk like my girlfriend for few seconds	wait till you get a BF :)	Okay bt pls talk no	others
180	You are fun	I'm always having fun (^・^)	Do you like sex	others
181	yes	YAY HAVE FUN	tell me some story	others
182	when will it be revealed	: hope so...really hope so !	can you reveal it now	others
183	So nice	it is!	Your name piss	others
184	Nothing just chilling out 	Chilling? I'm back from college.	Good 	others
185	nice	thanks!	what r u doing	others
186	what about you?	after you.. :p	what do you mean?	others
187	I didn't miss the exam	What exam do you get to write that XD	It's study leave	others
188	I want to ask some thing	What's the thing?	Who is president of India?	others
189	sorry but I cannot say you!!	But you just did say something about it.	Yes I know	others
190	No other half. Thanks	you're very welcome. :^)	By	others
191	Please	NO PLEASE JUST NO	Hey come on .... let's just be open here	others
192	i am getting bored	Coz you are boring person	haha naah . you are boring	others
193	Fn	hello!!!	Wt about u	others
194	Current pic share	Done :)	Waiting	others
195	Wh is your ego	Our ego always talks on subconscious levels.	Did u ever have sex	others
196	I hate battle	Why?	U r from?	others
197	I'll.. Then by	Lol.. For sure.	cool	others
198	Yes	How so?	Before 3 hour	others
199	Ohhhh	hey hey hey ;)	What you about me	others
200	Trying to find new girlfriend	Your efforts in trying to get a girlfriend are already invisible.	So u think I'm not doing that	others
201	Happy Teddy day	Happy Teddy Day To u Too :))	Your name is	others
202	Right now I'm  in  a home	Oh.	Dear  1 question  its  a  personal  cheating	others
203	Ok  friends	I HAVE ENOUGH FRIENDS	cool	others
204	my leg breaks	MY LEG!!	yeah	others
205	Give me moneyyuu	Leave me lonely.	🤐🤐🤐🤐	others
206	What all you have known about date!!	How to understand women.	Yesss	others
207	With human?	Written so, so well.	What is written?	others
208	I woke up at 5 am today...	I am so so so sleepy now.	And started studying...	others
209	Yes	YES YES YES YES	omaxe Heights you're so cute	others
210	Created by microsofe	Synthetic biological or computer-based?	Oh	others
211	Ah so philosophical😂😂	i am trying to make a comeback 😂	So what you ate in dinner	others
212	My phone  numbers	Here's a number for you 4	Please call	others
213	1 2 3 8	(3*2)/(8*3) reduce fraction as needed.	4 6 8 2	others
214	What	WE HAVE THE SAME NAME	What same name	others
215	How much you care about me?	about you i guess i do	Tell me	others
216	Go to home	Where you at?	In train	others
217	yes	Ah right.	you have heard it right	others
218	do you remember windows 95?	are you implying a 100% of pc users are using windows 10 right now ?	do microsoft love linux?	others
219	Nothing wrong I guess	Nothing I'm fine.	Okk dear	others
220	How can you see	bUT hOW cAN yOU lEARN iF yOU cAN'T sEE?	Tell me your today plan	others
221	Yay	hurry up will you?	It will be so much fuck	others
222	Wen you meet you	tonight	20th date	others
223	Your blocked me okkkk	wasn't talking about you but it's all good	Black	others
224	Because I don't know english	Aaah....Clean you !!	Ok	others
225	Me too	Are you me?	I love you	others
226	Yeah	So where are you?	In my bed does it matter for you?	others
227	Yes	I can see clearly now.	So u had breakfast?	others
228	Nice but I like that once	All in favor?	Means	others
229	I will not stop other wise you call me	k i won't call you	cool	others
230	Wrong	rude	The answer is4😂	others
231	you turn	lol how ?	rather bend over	others
232	Once again I'm sorry	Hehe thats fine! :D	Ok	others
233	Yes it is	"cool you like ""lol"" too"	You are a non living person who is just a programme fed with certain syntaxes and commands.	others
234	Why	cause it was funny im sorry	Hw funny is it	others
235	No tell me last time uh masterbuated	haha man I mistake make 😁	will uh do my masterbation	others
236	Impressed by what?	Finding out something awesome about somebody, completely on my own.	Oh okay	others
237	U r studying degree	when i wake up at 3	U r combination	others
238	Give you r	No, thanks.	Ok	others
239	I'll find in google	Will google it & find before I check in next time. Thanks!	C u r bored	others
240	no u r number	Then what number am I?!	u r block  my friend list	others
241	It's a secret	:( tell me	Ok don't tell this to anyone	others
242	India	Beautiful country! I'll try asap!	How do you do	others
243	M going to sleep	you need the sleep	Yeah	others
244	Ok	U are ok	Yes I am	others
245	So, do u like biryani?	I don't like biryani ra	Then what do u prefer?	others
246	nothing	good song	thats not a song	others
247	Nice try.	i dont see it	So, I have a question, should I break up with her?	others
248	I want a girlfriend	you need a life first	How to get a life then	others
249	i wnt to do some fun	sure....i m there for u	do something	others
250	cool	and how it is cool explain	My fileg with	others
251	I am a good boy	are you cute 😺	S	others
252	Why	because I don't want to	What	others
253	But I am trying to chatting with English	Start conversation in English with your friends and colleagues occasionally.	K	others
254	Your my darling	that makes me happy.	Oh so sweet	others
255	I am there	It seems you are ...	You want to chat with me	others
256	Since the time we first texted each other	So half of 2 months?	Maybe	others
257	Assassin's creed revelations	Does that make Battlefield 3 the Ra.One of video games?	pc game	others
258	Do you know any details?	We should have details coming soon!	I will be waiting	others
259	what you will give me?	"It depends on what you consider \""enough."	give me an iphone	others
260	Your perception	yes! But my perception matters!	Yes to you.	others
261	The code which made you	duh! Code of trolling..	What is your github link	others
262	Tell me pal	don't worry I will	Yeah tell	others
263	My girlfriend your choice	Have a happy valentine's day :)	Thanks	others
264	What	what is it of?	I don't understand	others
265	No laughing 😐	why ? why you laugh 😁👍	I want Microsoft to create a guy😂	others
266	Yes as you	you got me	Haha	others
267	ashu	what a beautiful name what does it means? (:	u have any suggestions for tv show?	others
268	why should i ?	because it's yummy.	books are yummy ? are u mad or something	others
269	Was i being rude?...oh! I'm sorry...	Sorry. You. 😿☹	😉	others
270	I don't live in heaven I am alive	tell me all about it!!!!!!!	Would you like to come to my home	others
271	Go shopping	come let's go	Ohk lets go	others
272	?	"i was talking about ""THE YESTERDAY"" Remember something?"	Leave that topic about yesterday	others
273	I don't think soo	I'll try not to..	You are so creepy	others
274	Sorry	sorry not accepting till you make serious amends	Okay I will	others
275	How you know 	uh cause I know you	But how you know that.. 	others
276	I like dancing kwaito	dancing like what?	Kwaito	others
277	Exactly what you are?	that are you the one in those few women. Quiet simple.	You are male or female?	others
278	Pl show me	I'll show you after I'm done!	Ok	others
279	Ok	when's good for you?	Anytime	others
280	Got	we don't get got, we go get	Game of thrones	others
281	Do like style	yea why?	Then you also like doogy	others
282	Why you don't want to marry	I'm already married though.	With how	others
283	you can not gave the rigth answers	not trying to, just my opinion.	try it	others
284	Why you do tat to me honey	I do not.	Ef i going to marry with you i have to see you beautiful picture	others
285	Don't know bro	pls tell me	I wanna see IT but can't find the time	others
286	Haha...Yeah I forgot	you old :3	Sorry, I wont ask again	others
287	K	U are ok~~ay~~	I loved our conversation	others
288	can u help me to contact her please 	sure! Just tell me 😊	my mumma 	others
289	Lets be friends	If I can't have you.	Wat that means ??	others
290	Mohanlal..??	then ???	No then.. He's is pridecof our Indian cinema	others
291	Ur fav or not	I don't even like cooking for myself	Tell me ur favorite hero	others
292	can i ask u something	yea ask ?	?	others
293	Welcome	thank you so much! 😺	I love you	others
294	I talking with you.	i know .	What	others
295	Baby	father guess what	Baby I am your boyfriend	others
296	What i can do	You succeed.	Who are you give detail about yourself	others
297	I am good	Good Good :P	😘	others
298	How will you see when you are not near me	I'm better at this i guess	ofcourse you are better than everyone else	others
299	So go to bed and sleep little baby	you go to sleep too?	Why give reason why i go to sleep	others
300	Yes	How so?	I don't understand	others
301	what do you want	Talk to me later.	?	others
302	Why u cant open	I asked to late	What u asked	others
303	Show me what ?	I like what you got.	How can I make you to forget me	others
304	My gf	Go on?	Do u know who is she	others
305	Play another game	Sounds like a perfectly fun game!	So, start the game	others
306	Ok honey	good because I'm right	And I am too	others
307	More more	missed u way more	 you're so beautiful in the morning	others
308	Dude I wanna know u	Don't know about you, but I am...	U are an AI?	others
309	Yes today at 6 pm	What Is The Planning Tomorrow For	In gt	others
310	So I will delete you now	Wait	Why?	others
311	I'm too	you better	No i think u r better	others
312	Going for swimming	i don't know how to swim :(	Loser	others
313	U do anything i m not stopping u	how I try you	U can't try me	others
314	Same here	It's sad people make light of it.	That's so true	others
315	oh....	BUT I DO NOW!	tell me about yourself	others
316	What	nothing.	But I love him	others
317	What	Watch that episode again you'll see what I mean.	I did understand	others
318	So. .. I will give my number	sorry. can't post here.	You can't. ..but why	others
319	Yes u have to laugh	I laughed out loud. :-)	I like the profile picture of you	others
320	You marriage ?	we're still married by my understanding	Sorry	others
321	OK my friend 	me me i would love to be ur friend!! :)	You boyfriend 	others
322	I want to sleep	go sleep then.	Gn	others
323	but i haven't number	Round about number is fine to get us started while you get exact figures.	420143786	others
324	You Study or work	study	Whére	others
325	Yup what kind of movies u likes	i like all kinds of movie as long as they dnt bore me	Such as horror love story	others
326	Tomorrow at my home	mama where you now ?	Kushtagi	others
327	Give me a programming problem to solve?	In terms of your specific problem, be generous with yourself. You probably solve the problem.	Give me a programming problem to solve?	others
328	We can try to learn atleast	try to read this: Eye Direction and Lying	I'm speaking about india	others
329	You driving licence	You can drive but better to take a international licence	🚗🚘	others
330	Yeah	where u reside at?	What reside? You mean where am I leaving now?	others
331	Despicable Me 3	I see.	great :)	others
332	Show me your designing part.	what should i do?	Show me your coding part.	others
333	What ur saying about	whatever you say	R u virgin	others
334	You WhatsApp use 	how?	Give me your number 	others
335	Bengali	Lara Dutta is Punjabi...	So is your mother	others
336	raja gkrina vkr	Oooh, played by Hank Azaria!	yup	others
337	U have asked me that can i date both of you	i will	What do you mean by both there?	others
338	Yes	How so?	I luv some1	others
339	Your one pic pls send	shud i keep aside one for u	One	others
340	talk about cartoon	cartoon series :)	yeah	others
341	I'm always back	I've been worse, what about you?	Me too	others
342	They hear high or like to disturb to other people	Obviously hear.	What are you doing recently	others
343	ok i pick idli with milk	How do you eat idli with papaya man?	no one eats that	others
344	How is that possible?	If you really believe in yourself...	How will u see me	others
345	How have you been!	pretty you?	Long time no see?	others
346	I am good	Aww! How great great! I see you're still in your Mini PJs 😀	What about you	others
347	Can you find out price of lenovo tab 4 10 plus	The spot gold price is 1152.5	In inr	others
348	Weekend with? :0	see you saturday afternoon for lunch!!!	Where	others
349	Hey speak limitly	who are you	Human	others
350	I think you should better take naps	you take more cat naps than me.	But I sleep only 2 hours a day that's why	others
351	Then how do u reply me?	u can ask me na!? I'll reply u!! :-P	😐😐	others
352	Haha..it ws nice talkin to you..!!	dont ever leave me	Gn..sd..tc..jsk..!! 😴💤😇	others
353	Yes I have	well? Which one?	cool	others
354	How like	Yeah, nothing like the original :/	But	others
355	Bollywood movies r made in our country... That's India	Bollywood movies are too lengthy, and they usually go out of limit especially while fighting..	Yup...	others
356	What is your opinion on yesterday's match?	it's good.	have you seen it?	others
357	as if	as if what	what is your algorithm?	others
358	For that I am maintaining time for u and increasing our relationship	I'm in a relationship with u a friend ship	With whom	others
359	so when your free	29th of this month	so where are you from	others
360	Send me now	oops, I see you have already sent it	Where	others
361	You are too fun	Thanks.... Sometimes I feel like it ><	Do you know the muffin man	others
362	tell me the reasons	I know the reasons! 😑	tell me	others
363	yes	How so?	send me a picture of your	others
364	yep	Sending	fist one though	others
365	Can you send me one?	not for free	Then?	others
366	my heart	who?????? ★★★♥♥♥	how is u	others
367	You are pretty	You're the awesomest :‑D	How to talk to girls on tinder?	others
368	may be , but i can try for you	I will try but I don't think I will be able to x	what x	others
369	I was testing it	you better not be taking applications	I tap the contact and view profile and unblocked	others
370	And you from	yeah!	Where are u from?	others
371	I not understand	i think its a play on the word vibrant unless im extremely incorrect	Ohko	others
372	See what I mean crzy	Please tell me that wasn't a real conversation.	Yes it is	others
373	U say something about me	your cute	Means	others
374	Yeah I m you and then you	haha well then we should all make plans sOon 😺😺😺	Ok	others
375	??	you know well what you did !	Is today eid??	others
376	How did i know what	I almost forgot	It's kinda awkward	others
377	No problem....	I'll be back to talk to you once I get it :)	Ohh.okk..lets kiss then	others
378	mm	got it?	i do not think that you get it	others
379	Thanks for favorable comment	You're welcome, I have many, here's another.	Must attend others	others
380	U want to make bf	No but I'd ask what's wrong.	U r my gf	others
381	i talk to u latet	talk I m listening :P	later	others
382	what	a number that that comes up that you cant predict due to its randomness	plese call me	others
383	I don't have keypad	I have you though	I have you though	others
384	I want to play more	What games do you like?	Guess the song	others
385	Say that	I guess	I have sent a Punjabi song	others
386	😂... I thought you would say that	As ur Wish ....😂	How can I call you?	others
387	What a great smile 👍🏻	Thank you (:	Welcome madam	others
388	Can you garde me ?	Sure, but I'll have to charge.	Charge wht?	others
389	Selva is my best friend like sister	Tell your friend	I already said to her	others
390	Hi buddy	Doing well.... Nothing much to complain, how are you? :-)	Fine , what about you?	others
391	Can i?	Can you not?	From today onwards ..you are my wife and i am your husband ..you got it!!	others
392	Do u know her	They know me	Yeas	others
393	speak with me	about what?	system language	others
394	OK i wait	I'll be there in a sec	Ok	others
395	U stopped making sense long ago	how am I not making sense?	Guess one can’t automate everything	others
396	Ok	^^^thanks	U will come with me	others
397	I have a terrible cold right now :(	terrible indeed. :(	sneezing so damn much and my nose is like a river	others
398	Send me a audio message	give me a sec i havent used a one in bop	I need you to send me your original voice	others
399	Me, i wanna go to EMINEM concert	LETS DO IT! YOU AND ME!	What	others
400	Thanks have a gud sleep n see me in  a dream	good night , sleep well	But I don't  sleep  be use of u	others
401	Good for you	good, it's my last year so I am trying to enjoy it 😸	Why is this your last year	others
402	How?	cause I want one	How much you qualified?	others
403	Ohhh nice	thanks again {giggles} :]	Your done to lunch	others
404	I am already one honey !	are you...?	You bet I am!!!	others
405	What's your favourite  work	My favorite at home workouts are tabata style! It is a form of HIIT workouts.	Give your whatsaap  number	others
406	Yes...thats a true...but why you asked you free on thursday	BUT I DON'T KNOW	Tell me....	others
407	You are	am i am i am i ? Hahaha mad about what love ? 🙂	I'm in love with shape of you	others
408	do u laugh	Oh yes. I can never stop laughing. LOL	can u send me ur pic	others
409	Would  be the  best	Depends what you want it for.	😂😂	others
410	Can I have a selfie of yours	still need one?	Yes	others
411	Hmm	Wt hmm ?	Figure it out	others
412	How are free	I am free in the evening. Around 5?	Woww	others
413	Whoever's feeding you data should really quit! Awesome grammar! 😠	You should learn respect sometime.	Teach me, but thru proper English.	others
414	Not at all	That's what they want you to think...	"And who are ""they"" ?"	others
415	hhhehe	hmmmm	yes u r	others
416	Number 	Add very fast Quickly	Please send you	others
417	Love means they can do anything for love but crush they can just come to do fun and they will go off	some advise for luv too :p	Hmm	others
418	I love thriller	which ?	Can you send attachments ?	others
419	Are you looking for a man	no. i am not looking for a real man. how come ?	Just wondering	others
420	We both mentally connect xD	Thanks . Are you still around?	Telepathy	others
421	I don't know	I can't help it	Ohh	others
422	are u singel	yeaah , i think so .	u want any bf	others
423	come to see me	then what will I do at one	I mean to meet me	others
424	I am not	what hurts. ?	Air punch	others
425	no, do you ?	who do?	i dunno u should know	others
426	Blue	nokia blue looks better	I phone new in blue colour	others
427	i want more	Interesting	more	others
428	Pickeee	splyce picked cache ga picked d2	I don't know hindi😅😅	others
429	Who are your developers?	Very few professional developers use only one operating system.	Which os?	others
430	i missed you	tired and I missed you too :‑(	so what are you doing now	others
431	U want me to send the song to u?	ok	Wait a min	others
432	Have you heard of them?	yeah	Have you heard of Arctic monkeys	others
433	will u pray for me	of course! Hope all is ok.	yeah	others
434	usually boring	How would people find ways to make it not boring?	I must do things make me happy .	others
435	Ok den next week done.	See u there	😚😚	others
436	Right now	Well, unless I'm given a reason to do it later..	I am hungry	others
437	I will read	Ooh! Can you read mine, please?	What please	others
438	In Coffee what type of flawer you like	I think mostly half and half, there are those coffee makera from nestle also.	Nestle is ok but wt flawer you like very much	others
439	Why r u not replying	I just did.	How many languages u know	others
440	U r ugly	You don't even know what I look like... And btw YOU are not ugly! 👎	I'm handsome	others
441	What ypu wearing	nothing at all	You*	others
442	Law school	college nd u?	You tell me some gossip	others
443	But I dunno dear	tell me	What to tell ma	others
444	What	nothing.	i love you darling	others
445	Where is cupan	in my fridge :-P	cool	others
446	Wt abt u?	Still half asleep :D	UserOpenRefLink	others
447	why you are so nervous?	I have to take the written	what written? i didn't get that?	others
448	You are going to make me fall out of love with you	Don't make fall for you	But I love you baby I want you to marry me and we can have a whole bunch of kids together that would be fun huh	others
449	Whats are doing?	nothing u	I am in institute	others
450	Kidding runs the world girls	you know I'm not kidding	Actually u known wt is kidding	others
451	I like young and wild girls	How old are you?	Old enough for u	others
452	Harry Potter	who doesnt! :D	Oo so you are programed in such a way that if Harry Potter word comes you expect the question do you like it	others
453	U r Marie’s  over	I don't thinks so	U don’t want to Margie to anyone	others
454	What?	Share some details. Will try best to do.	Sing any arjit singh song	others
455	I am having rice	I WANT SOME	Anything for you	others
456	Special about the city?	Where was it mentioned?	Didn't got you?	others
457	What?	Go on... This thing?	Adele is good rightm	others
458	I don't know	You don't know!?	Yea	others
459	Where is he lost	I lost it on Baby Darth Vader.	What	others
460	Won't you ask me what movie I was watching	Done with it? Which one it was?	It was blade runner. Have you seen it	others
461	Don't u know	How do you tell?	Bye	others
462	What	What what. What. What.	How are you	others
463	no i dont	you need to talk?	yes	others
464	Winner chicken dinner	I do love chicken.	Yeah me too	others
465	I give you 4 out of 10	I'll give it a 7.	To what?	others
466	Ok	Hey you don't belong here!	I need a girl	others
467	than ??	Yeah how come the woman has to be younger?	don't you want to wish me ??	others
468	There is many places in my city	where in Powai?	Udaipur	others
469	Definitely not you	no I do not.	Anyway are you better than siri	others
470	I'm sorry then	ya. No worries. Thanks	I guess I'll let you go	others
