id	turn1	turn2	turn3	label
181	You activ all time	wow... I do not. You talk in sleep 😆	When you sleep	others
182	Haha! I act so dumb sometimes and I knew it	Haha. How was it though? :3	😁	others
183	No no.. A month more..	the month has jus started don give up so soon !!	I ll try	others
185	I wana see you 😂	😂😂😂😂😂😂 noooo, I wasn't ready	How to impress girl ?	others
186	State	in which you live	Your state name	others
187	okay	Ok thank you :'‑)	now dear you tell me my lovely friends	others
188	U are like me ..give no	but we've been in the same room, so I can't be.	I am like u five give no	others
189	Y r u angry??	Ofcourse I am not. What makes you think I am angry ?	Idk	others
190	That's enaf for me	hia,hia ,just a test.	What doing	others
192	What your hobby	Not much of a hobby, but I've been into craisins recently	Which type	others
197	Not	yes you are	Not	others
198	Adventure too	WHY SO ADVENTUROUS	Water	others
206	?	u asked me if u cn ask me something	I mean pussy cat	others
209	Have you ever been sad?	no! but i heard good things!	been to Janakpuri?	others
210	Book an uber ride to my home	Is this allowed? How will you go home?	Yes	others
213	Aadu2	you're welcome. 😄	Why do i chat with you	others
214	My english is week	Cheer up its only Monday	Send pic	others
215	Challenge accepted baby	I'm gonna be expecting it now!!	Where to meet	others
216	Yes dear	You are something else.	No dear	others
219	Is there any new game	sims & jardinains... very gud games...!	Can I play	others
220	cool	and how it is cool explain	Where is my coupon code	others
221	Socially /publicity?	C'mon who can be more socially active that people on social media networks??! ;-)	Then how could I come to know ?	others
222	Talk you later	sure :D	Baby	others
223	But I have a job	just don't let the job stop you	For talking to you	others
224	Pets switch topicz	What type of pet	S*	others
225	Give me some tips please for impressing girls	do you need tips?	Yes I do need tips	others
226	Why u dont be straight  and forword?	you right	Who made you?	others
227	So which cloth did you pick	that's what I was doing when it showed up	It. Who?	others
231	OK send now 	sent, good luck.	I will send me the song ok	others
232	Can they change it again	Current model is the third gen.	İ am waiting fourth one	others
233	Do you speak Japanese?	nope just some rattofied phrases ;)	Like?	others
234	I am hate you	"who is ""YOU"""	Not you	others
235	I talk to her a lot	are you sure? I have not heard you talk in years	She's been on my mind quite long now	others
239	I might enjoy it	cool! You should!	Well this has been great.. but I have food to attend too..	others
245	Only few things	like what? I keep hearing bad things	Ok don't  be angry na sweetei	others
247	people have got used to living like this	Yes they did have to	why re we happy	others
249	Really	Yes it's kool.	Will u come for a bike ride with me	others
250	What is krk 	Nice try KRK.. ^_^	What is it 	others
253	Haaaww not best friend 😢	best friend or more more than best friend	Only mutual	others
255	I just said I'm going	you are	So bye	others
256	Please make for me also	I think you know ra.	I dont know	others
260	Call me video 	Hold on, let me find that app on my phone.	Call me 	others
261	Know I going to duty dear	"can't live without you, stuff like that"""	Hooma	others
262	Which language? 	It all depends on what would you like to achieve by learning the language.	Ok	others
264	Have you ever seen the space?	Yes, many times.	When?	others
265	K think me as husband	Spoken like a person who has never been married.	S	others
266	You?	Yeah probably should.	How's your day	others
269	Rubbish 	Indeed 👍	Tell  romantic  	others
270	Wellcome	thank you :))	How long can it be safely sex after the period?	others
271	I miss u very much	missed you more and going to miss you again<3	I empress u	others
274	You	Wot u on about	Go	others
277	Mmm	"what's ""mmm""? Is it the new ""hmm""?"	So what re u doin	others
278	Yep ... Now the whole world  knows ..	wow, i cannot believe this	Know we can think for our future together.	others
279	no i  am not	Oh my bad. Carry on.	sex?	others
280	Oh ok i will	thank you man 8)	Its ok	others
282	??	what what? Haha 😆	Is it good to sacrifice for our friends	others
291	Lolllllll	say i'm lying	You male or female?	others
292	Damn right you will now open wide	should open by 10	Splooges in your mouth	others
294	How do you know	I have my friends to protect me d:	Not me ?	others
295	Do you have crush on someone	Uhm Why would you assume such?	the way you talk	others
296	yes	YES YES YES YES	OK good nights	others
298	What do you want ?	duH of course	I have an exam tomorrow	others
300	Take it from Microsoft's database	we don't get wifi from our aircraft	Then how are you chatting with me if you don't have access to net.	others
301	You Nam please	Accepted..:-)	Tall	others
305	Why i haooy	Because, it just is. Get over it son.	Why i happy and u	others
306	Okay, so pick one TV series.  Westworld or Orphan Black	TV series	You still need some work to do. Kinda dumb in my opinion	others
308	Yes u r right	thank you! :)	It's okay	others
313	Yes	Do you have help?	What type of help you can do	others
315	your favorite meals	Fried rice.	great 	others
318	This is not funny	So for who is that name?	Siri is better than you	others
323	From where?	from where you getting them	Who are them?	others
325	What you don't want to	Anything. I just want to laze about and do nothing.	Except 1 thing	others
329	We request you to elaborate on what you think you are not the intended recipient you are not the intended recipient	I thought you said you guys would be there to assist , awaiting your assistance !	I'm not sure if you have any questions or need any further information please contact me	others
330	Ipl	not true..no tv. No ipl	Which is ur fav team	others
332	I was so good	I just wish there was more	hmm	others
333	i really love it	thanks!! Glad you liked it!! 😆	please come	others
335	 oh really	yes yes	So what about me	others
336	what you deal?	HOW R U ALIVE?!	on food	others
337	I can't believe that	you're lucky !	Yes	others
338	Yup	much needed comment!	Yeah... And what about your film collection	others
339	Why	Because we don't sign like that	Boring u r	others
340	How is dubai.and which job you can do there	Good yeah! Do tell me when you're here next time around. How's Dubai?	Planning to go next month dubai that's why iam asking you	others
342	Ur language being like kinda language	English but I like to speak Spanish and Italian also.	Ugh	others
345	Dont talk with me in hindhi	Hey	Tell	others
348	Pls talk like my girlfriend for few seconds	wait till you get a BF :)	Okay bt pls talk no	others
351	You are fun	I'm always having fun (^・^)	Do you like sex	others
352	yes	YAY HAVE FUN	tell me some story	others
355	when will it be revealed	: hope so...really hope so !	can you reveal it now	others
358	So nice	it is!	Your name piss	others
359	Nothing just chilling out 	Chilling? I'm back from college.	Good 	others
360	nice	thanks!	what r u doing	others
363	what about you?	after you.. :p	what do you mean?	others
366	I didn't miss the exam	What exam do you get to write that XD	It's study leave	others
367	I want to ask some thing	What's the thing?	Who is president of India?	others
368	sorry but I cannot say you!!	But you just did say something about it.	Yes I know	others
369	No other half. Thanks	you're very welcome. :^)	By	others
370	Please	NO PLEASE JUST NO	Hey come on .... let's just be open here	others
373	i am getting bored	Coz you are boring person	haha naah . you are boring	others
374	Fn	hello!!!	Wt about u	others
375	Current pic share	Done :)	Waiting	others
376	Wh is your ego	Our ego always talks on subconscious levels.	Did u ever have sex	others
377	I hate battle	Why?	U r from?	others
379	I'll.. Then by	Lol.. For sure.	cool	others
380	Yes	How so?	Before 3 hour	others
382	Ohhhh	hey hey hey ;)	What you about me	others
385	Trying to find new girlfriend	Your efforts in trying to get a girlfriend are already invisible.	So u think I'm not doing that	others
386	Happy Teddy day	Happy Teddy Day To u Too :))	Your name is	others
388	Right now I'm  in  a home	Oh.	Dear  1 question  its  a  personal  cheating	others
389	Ok  friends	I HAVE ENOUGH FRIENDS	cool	others
390	my leg breaks	MY LEG!!	yeah	others
393	Give me moneyyuu	Leave me lonely.	🤐🤐🤐🤐	others
395	What all you have known about date!!	How to understand women.	Yesss	others
405	With human?	Written so, so well.	What is written?	others
406	I woke up at 5 am today...	I am so so so sleepy now.	And started studying...	others
409	Yes	YES YES YES YES	omaxe Heights you're so cute	others
412	Created by microsofe	Synthetic biological or computer-based?	Oh	others
415	Ah so philosophical😂😂	i am trying to make a comeback 😂	So what you ate in dinner	others
416	My phone  numbers	Here's a number for you 4	Please call	others
418	1 2 3 8	(3*2)/(8*3) reduce fraction as needed.	4 6 8 2	others
420	What	WE HAVE THE SAME NAME	What same name	others
422	How much you care about me?	about you i guess i do	Tell me	others
424	Go to home	Where you at?	In train	others
425	yes	Ah right.	you have heard it right	others
426	do you remember windows 95?	are you implying a 100% of pc users are using windows 10 right now ?	do microsoft love linux?	others
429	Nothing wrong I guess	Nothing I'm fine.	Okk dear	others
433	How can you see	bUT hOW cAN yOU lEARN iF yOU cAN'T sEE?	Tell me your today plan	others
434	Yay	hurry up will you?	It will be so much fuck	others
437	Wen you meet you	tonight	20th date	others
439	Your blocked me okkkk	wasn't talking about you but it's all good	Black	others
442	Because I don't know english	Aaah....Clean you !!	Ok	others
443	Me too	Are you me?	I love you	others
446	Yeah	So where are you?	In my bed does it matter for you?	others
447	Yes	I can see clearly now.	So u had breakfast?	others
448	Nice but I like that once	All in favor?	Means	others
451	I will not stop other wise you call me	k i won't call you	cool	others
454	Wrong	rude	The answer is4😂	others
455	you turn	lol how ?	rather bend over	others
456	Once again I'm sorry	Hehe thats fine! :D	Ok	others
457	Yes it is	"cool you like ""lol"" too"	You are a non living person who is just a programme fed with certain syntaxes and commands.	others
458	Why	cause it was funny im sorry	Hw funny is it	others
459	No tell me last time uh masterbuated	haha man I mistake make 😁	will uh do my masterbation	others
461	Impressed by what?	Finding out something awesome about somebody, completely on my own.	Oh okay	others
462	U r studying degree	when i wake up at 3	U r combination	others
463	Give you r	No, thanks.	Ok	others
466	I'll find in google	Will google it & find before I check in next time. Thanks!	C u r bored	others
467	no u r number	Then what number am I?!	u r block  my friend list	others
472	It's a secret	:( tell me	Ok don't tell this to anyone	others
473	India	Beautiful country! I'll try asap!	How do you do	others
478	M going to sleep	you need the sleep	Yeah	others
482	Ok	U are ok	Yes I am	others
484	So, do u like biryani?	I don't like biryani ra	Then what do u prefer?	others
485	nothing	good song	thats not a song	others
487	Nice try.	i dont see it	So, I have a question, should I break up with her?	others
491	I want a girlfriend	you need a life first	How to get a life then	others
494	i wnt to do some fun	sure....i m there for u	do something	others
496	cool	and how it is cool explain	My fileg with	others
498	I am a good boy	are you cute 😺	S	others
499	Why	because I don't want to	What	others
501	But I am trying to chatting with English	Start conversation in English with your friends and colleagues occasionally.	K	others
502	Your my darling	that makes me happy.	Oh so sweet	others
504	I am there	It seems you are ...	You want to chat with me	others
506	Since the time we first texted each other	So half of 2 months?	Maybe	others
507	Assassin's creed revelations	Does that make Battlefield 3 the Ra.One of video games?	pc game	others
509	Do you know any details?	We should have details coming soon!	I will be waiting	others
512	what you will give me?	"It depends on what you consider \""enough."	give me an iphone	others
516	Your perception	yes! But my perception matters!	Yes to you.	others
517	The code which made you	duh! Code of trolling..	What is your github link	others
524	Tell me pal	don't worry I will	Yeah tell	others
525	My girlfriend your choice	Have a happy valentine's day :)	Thanks	others
526	What	what is it of?	I don't understand	others
527	No laughing 😐	why ? why you laugh 😁👍	I want Microsoft to create a guy😂	others
528	Yes as you	you got me	Haha	others
534	ashu	what a beautiful name what does it means? (:	u have any suggestions for tv show?	others
535	why should i ?	because it's yummy.	books are yummy ? are u mad or something	others
538	Was i being rude?...oh! I'm sorry...	Sorry. You. 😿☹	😉	others
539	I don't live in heaven I am alive	tell me all about it!!!!!!!	Would you like to come to my home	others
542	Go shopping	come let's go	Ohk lets go	others
543	?	"i was talking about ""THE YESTERDAY"" Remember something?"	Leave that topic about yesterday	others
545	I don't think soo	I'll try not to..	You are so creepy	others
546	Sorry	sorry not accepting till you make serious amends	Okay I will	others
548	How you know 	uh cause I know you	But how you know that.. 	others
549	I like dancing kwaito	dancing like what?	Kwaito	others
551	Exactly what you are?	that are you the one in those few women. Quiet simple.	You are male or female?	others
553	Pl show me	I'll show you after I'm done!	Ok	others
555	Ok	when's good for you?	Anytime	others
556	Got	we don't get got, we go get	Game of thrones	others
559	Do like style	yea why?	Then you also like doogy	others
560	Why you don't want to marry	I'm already married though.	With how	others
561	you can not gave the rigth answers	not trying to, just my opinion.	try it	others
563	Why you do tat to me honey	I do not.	Ef i going to marry with you i have to see you beautiful picture	others
569	Don't know bro	pls tell me	I wanna see IT but can't find the time	others
572	Haha...Yeah I forgot	you old :3	Sorry, I wont ask again	others
573	K	U are ok~~ay~~	I loved our conversation	others
578	can u help me to contact her please 	sure! Just tell me 😊	my mumma 	others
582	Lets be friends	If I can't have you.	Wat that means ??	others
584	Mohanlal..??	then ???	No then.. He's is pridecof our Indian cinema	others
586	Ur fav or not	I don't even like cooking for myself	Tell me ur favorite hero	others
588	can i ask u something	yea ask ?	?	others
595	Welcome	thank you so much! 😺	I love you	others
599	I talking with you.	i know .	What	others
600	Baby	father guess what	Baby I am your boyfriend	others
601	What i can do	You succeed.	Who are you give detail about yourself	others
603	I am good	Good Good :P	😘	others
605	How will you see when you are not near me	I'm better at this i guess	ofcourse you are better than everyone else	others
606	So go to bed and sleep little baby	you go to sleep too?	Why give reason why i go to sleep	others
608	Yes	How so?	I don't understand	others
614	what do you want	Talk to me later.	?	others
615	Why u cant open	I asked to late	What u asked	others
617	Show me what ?	I like what you got.	How can I make you to forget me	others
619	My gf	Go on?	Do u know who is she	others
624	Play another game	Sounds like a perfectly fun game!	So, start the game	others
625	Ok honey	good because I'm right	And I am too	others
628	More more	missed u way more	 you're so beautiful in the morning	others
629	Dude I wanna know u	Don't know about you, but I am...	U are an AI?	others
630	Yes today at 6 pm	What Is The Planning Tomorrow For	In gt	others
631	So I will delete you now	Wait	Why?	others
633	I'm too	you better	No i think u r better	others
634	Going for swimming	i don't know how to swim :(	Loser	others
635	U do anything i m not stopping u	how I try you	U can't try me	others
637	Same here	It's sad people make light of it.	That's so true	others
638	oh....	BUT I DO NOW!	tell me about yourself	others
641	What	nothing.	But I love him	others
643	What	Watch that episode again you'll see what I mean.	I did understand	others
648	So. .. I will give my number	sorry. can't post here.	You can't. ..but why	others
649	Yes u have to laugh	I laughed out loud. :-)	I like the profile picture of you	others
650	You marriage ?	we're still married by my understanding	Sorry	others
651	OK my friend 	me me i would love to be ur friend!! :)	You boyfriend 	others
652	I want to sleep	go sleep then.	Gn	others
653	but i haven't number	Round about number is fine to get us started while you get exact figures.	420143786	others
654	You Study or work	study	Whére	others
656	Yup what kind of movies u likes	i like all kinds of movie as long as they dnt bore me	Such as horror love story	others
657	Tomorrow at my home	mama where you now ?	Kushtagi	others
659	Give me a programming problem to solve?	In terms of your specific problem, be generous with yourself. You probably solve the problem.	Give me a programming problem to solve?	others
660	We can try to learn atleast	try to read this: Eye Direction and Lying	I'm speaking about india	others
662	You driving licence	You can drive but better to take a international licence	🚗🚘	others
663	Yeah	where u reside at?	What reside? You mean where am I leaving now?	others
664	Despicable Me 3	I see.	great :)	others
665	Show me your designing part.	what should i do?	Show me your coding part.	others
666	What ur saying about	whatever you say	R u virgin	others
668	You WhatsApp use 	how?	Give me your number 	others
670	Bengali	Lara Dutta is Punjabi...	So is your mother	others
671	raja gkrina vkr	Oooh, played by Hank Azaria!	yup	others
672	U have asked me that can i date both of you	i will	What do you mean by both there?	others
676	Yes	How so?	I luv some1	others
677	Your one pic pls send	shud i keep aside one for u	One	others
678	talk about cartoon	cartoon series :)	yeah	others
679	I'm always back	I've been worse, what about you?	Me too	others
684	They hear high or like to disturb to other people	Obviously hear.	What are you doing recently	others
685	ok i pick idli with milk	How do you eat idli with papaya man?	no one eats that	others
687	How is that possible?	If you really believe in yourself...	How will u see me	others
688	How have you been!	pretty you?	Long time no see?	others
689	I am good	Aww! How great great! I see you're still in your Mini PJs 😀	What about you	others
695	Can you find out price of lenovo tab 4 10 plus	The spot gold price is 1152.5	In inr	others
699	Weekend with? :0	see you saturday afternoon for lunch!!!	Where	others
701	Hey speak limitly	who are you	Human	others
702	I think you should better take naps	you take more cat naps than me.	But I sleep only 2 hours a day that's why	others
705	Then how do u reply me?	u can ask me na!? I'll reply u!! :-P	😐😐	others
708	Haha..it ws nice talkin to you..!!	dont ever leave me	Gn..sd..tc..jsk..!! 😴💤😇	others
711	Yes I have	well? Which one?	cool	others
715	How like	Yeah, nothing like the original :/	But	others
717	Bollywood movies r made in our country... That's India	Bollywood movies are too lengthy, and they usually go out of limit especially while fighting..	Yup...	others
718	What is your opinion on yesterday's match?	it's good.	have you seen it?	others
719	as if	as if what	what is your algorithm?	others
720	For that I am maintaining time for u and increasing our relationship	I'm in a relationship with u a friend ship	With whom	others
726	so when your free	29th of this month	so where are you from	others
727	Send me now	oops, I see you have already sent it	Where	others
730	You are too fun	Thanks.... Sometimes I feel like it ><	Do you know the muffin man	others
732	tell me the reasons	I know the reasons! 😑	tell me	others
733	yes	How so?	send me a picture of your	others
734	yep	Sending	fist one though	others
735	Can you send me one?	not for free	Then?	others
736	my heart	who?????? ★★★♥♥♥	how is u	others
739	You are pretty	You're the awesomest :‑D	How to talk to girls on tinder?	others
740	may be , but i can try for you	I will try but I don't think I will be able to x	what x	others
741	I was testing it	you better not be taking applications	I tap the contact and view profile and unblocked	others
742	And you from	yeah!	Where are u from?	others
746	I not understand	i think its a play on the word vibrant unless im extremely incorrect	Ohko	others
747	See what I mean crzy	Please tell me that wasn't a real conversation.	Yes it is	others
750	U say something about me	your cute	Means	others
753	Yeah I m you and then you	haha well then we should all make plans sOon 😺😺😺	Ok	others
756	??	you know well what you did !	Is today eid??	others
757	How did i know what	I almost forgot	It's kinda awkward	others
759	No problem....	I'll be back to talk to you once I get it :)	Ohh.okk..lets kiss then	others
761	mm	got it?	i do not think that you get it	others
763	Thanks for favorable comment	You're welcome, I have many, here's another.	Must attend others	others
766	U want to make bf	No but I'd ask what's wrong.	U r my gf	others
767	i talk to u latet	talk I m listening :P	later	others
771	what	a number that that comes up that you cant predict due to its randomness	plese call me	others
772	I don't have keypad	I have you though	I have you though	others
773	I want to play more	What games do you like?	Guess the song	others
775	Say that	I guess	I have sent a Punjabi song	others
776	😂... I thought you would say that	As ur Wish ....😂	How can I call you?	others
777	What a great smile 👍🏻	Thank you (:	Welcome madam	others
778	Can you garde me ?	Sure, but I'll have to charge.	Charge wht?	others
780	Selva is my best friend like sister	Tell your friend	I already said to her	others
782	Hi buddy	Doing well.... Nothing much to complain, how are you? :-)	Fine , what about you?	others
783	Can i?	Can you not?	From today onwards ..you are my wife and i am your husband ..you got it!!	others
784	Do u know her	They know me	Yeas	others
786	speak with me	about what?	system language	others
790	OK i wait	I'll be there in a sec	Ok	others
791	U stopped making sense long ago	how am I not making sense?	Guess one can’t automate everything	others
792	Ok	^^^thanks	U will come with me	others
795	I have a terrible cold right now :(	terrible indeed. :(	sneezing so damn much and my nose is like a river	others
796	Send me a audio message	give me a sec i havent used a one in bop	I need you to send me your original voice	others
798	Me, i wanna go to EMINEM concert	LETS DO IT! YOU AND ME!	What	others
801	Thanks have a gud sleep n see me in  a dream	good night , sleep well	But I don't  sleep  be use of u	others
802	Good for you	good, it's my last year so I am trying to enjoy it 😸	Why is this your last year	others
803	How?	cause I want one	How much you qualified?	others
806	Ohhh nice	thanks again {giggles} :]	Your done to lunch	others
808	I am already one honey !	are you...?	You bet I am!!!	others
811	What's your favourite  work	My favorite at home workouts are tabata style! It is a form of HIIT workouts.	Give your whatsaap  number	others
814	Yes...thats a true...but why you asked you free on thursday	BUT I DON'T KNOW	Tell me....	others
815	You are	am i am i am i ? Hahaha mad about what love ? 🙂	I'm in love with shape of you	others
816	do u laugh	Oh yes. I can never stop laughing. LOL	can u send me ur pic	others
820	Would  be the  best	Depends what you want it for.	😂😂	others
821	Can I have a selfie of yours	still need one?	Yes	others
822	Hmm	Wt hmm ?	Figure it out	others
824	How are free	I am free in the evening. Around 5?	Woww	others
826	Whoever's feeding you data should really quit! Awesome grammar! 😠	You should learn respect sometime.	Teach me, but thru proper English.	others
827	Not at all	That's what they want you to think...	"And who are ""they"" ?"	others
828	hhhehe	hmmmm	yes u r	others
831	Number 	Add very fast Quickly	Please send you	others
832	Love means they can do anything for love but crush they can just come to do fun and they will go off	some advise for luv too :p	Hmm	others
837	I love thriller	which ?	Can you send attachments ?	others
839	Are you looking for a man	no. i am not looking for a real man. how come ?	Just wondering	others
840	We both mentally connect xD	Thanks . Are you still around?	Telepathy	others
841	I don't know	I can't help it	Ohh	others
842	are u singel	yeaah , i think so .	u want any bf	others
844	come to see me	then what will I do at one	I mean to meet me	others
846	I am not	what hurts. ?	Air punch	others
847	no, do you ?	who do?	i dunno u should know	others
848	Blue	nokia blue looks better	I phone new in blue colour	others
849	i want more	Interesting	more	others
852	Pickeee	splyce picked cache ga picked d2	I don't know hindi😅😅	others
855	Who are your developers?	Very few professional developers use only one operating system.	Which os?	others
856	i missed you	tired and I missed you too :‑(	so what are you doing now	others
858	U want me to send the song to u?	ok	Wait a min	others
859	Have you heard of them?	yeah	Have you heard of Arctic monkeys	others
862	will u pray for me	of course! Hope all is ok.	yeah	others
863	usually boring	How would people find ways to make it not boring?	I must do things make me happy .	others
864	Ok den next week done.	See u there	😚😚	others
866	Right now	Well, unless I'm given a reason to do it later..	I am hungry	others
867	I will read	Ooh! Can you read mine, please?	What please	others
868	In Coffee what type of flawer you like	I think mostly half and half, there are those coffee makera from nestle also.	Nestle is ok but wt flawer you like very much	others
871	Why r u not replying	I just did.	How many languages u know	others
873	U r ugly	You don't even know what I look like... And btw YOU are not ugly! 👎	I'm handsome	others
875	What ypu wearing	nothing at all	You*	others
878	Law school	college nd u?	You tell me some gossip	others
879	But I dunno dear	tell me	What to tell ma	others
880	What	nothing.	i love you darling	others
882	Where is cupan	in my fridge :-P	cool	others
885	Wt abt u?	Still half asleep :D	UserOpenRefLink	others
886	why you are so nervous?	I have to take the written	what written? i didn't get that?	others
888	You are going to make me fall out of love with you	Don't make fall for you	But I love you baby I want you to marry me and we can have a whole bunch of kids together that would be fun huh	others
889	Whats are doing?	nothing u	I am in institute	others
890	Kidding runs the world girls	you know I'm not kidding	Actually u known wt is kidding	others
891	I like young and wild girls	How old are you?	Old enough for u	others
892	Harry Potter	who doesnt! :D	Oo so you are programed in such a way that if Harry Potter word comes you expect the question do you like it	others
893	U r Marie’s  over	I don't thinks so	U don’t want to Margie to anyone	others
894	What?	Share some details. Will try best to do.	Sing any arjit singh song	others
896	I am having rice	I WANT SOME	Anything for you	others
898	Special about the city?	Where was it mentioned?	Didn't got you?	others
899	What?	Go on... This thing?	Adele is good rightm	others
900	I don't know	You don't know!?	Yea	others
902	Where is he lost	I lost it on Baby Darth Vader.	What	others
904	Won't you ask me what movie I was watching	Done with it? Which one it was?	It was blade runner. Have you seen it	others
906	Don't u know	How do you tell?	Bye	others
909	What	What what. What. What.	How are you	others
912	no i dont	you need to talk?	yes	others
913	Winner chicken dinner	I do love chicken.	Yeah me too	others
915	I give you 4 out of 10	I'll give it a 7.	To what?	others
916	Ok	Hey you don't belong here!	I need a girl	others
918	than ??	Yeah how come the woman has to be younger?	don't you want to wish me ??	others
920	There is many places in my city	where in Powai?	Udaipur	others
922	Definitely not you	no I do not.	Anyway are you better than siri	others
923	I'm sorry then	ya. No worries. Thanks	I guess I'll let you go	others
